[15728, 15730, 15729, 15729, 15730, 15729, 15730, 15730, 15729, 15730, 15729, 15729, 15730, 15728, 15728, 15729, 15727, 15728, 15728, 15726, 15728, 15728, 15727, 15729, 15728, '0 -> 7']
[15727, 15732, 15725, 15728, 15731, 15724, 15729, 15729, 15724, 15731, 15728, 15725, 15732, 15727, 15728, 15733, 15726, 15730, 15732, 15726, 15732, 15730, 15726, 15733, 15728, '8 -> 15']
[15728, 15729, 15731, 15728, 15728, 15730, 15729, 15729, 15730, 15728, 15728, 15731, 15729, 15728, 15729, 15728, 15728, 15729, 15728, 15726, 15728, 15729, 15728, 15728, 15729, '16 -> 23']
[15730, 15727, 15728, 15729, 15728, 15729, 15727, 15727, 15729, 15728, 15729, 15728, 15727, 15730, 15730, 15728, 15730, 15728, 15728, 15732, 15728, 15728, 15730, 15728, 15730, '24 -> 31']
[15729, 15728, 15730, 15730, 15730, 15732, 15730, 15730, 15732, 15730, 15730, 15730, 15728, 15729, 15728, 15727, 15728, 15726, 15726, 15728, 15726, 15726, 15728, 15727, 15728, '32 -> 39']
[15731, 15724, 15731, 15728, 15723, 15731, 15725, 15725, 15731, 15723, 15728, 15731, 15724, 15731, 15730, 15726, 15734, 15730, 15728, 15734, 15728, 15730, 15734, 15726, 15730, '40 -> 47']
[15729, 15728, 15728, 15730, 15731, 15729, 15730, 15730, 15729, 15731, 15730, 15728, 15728, 15729, 15729, 15728, 15727, 15727, 15728, 15728, 15728, 15727, 15727, 15728, 15729, '48 -> 55']
[15727, 15731, 15728, 15727, 15728, 15726, 15729, 15729, 15726, 15728, 15727, 15728, 15731, 15727, 15728, 15730, 15729, 15731, 15730, 15728, 15730, 15731, 15729, 15730, 15728, '56 -> 63']
[15727, 15725, 15727, 15729, 15726, 15728, 15729, 15729, 15732, 15731, 15729, 15732, 15731, 15731, 15731, 15728, 15729, 15730, 15728, 15729, 15727, 15726, 15729, 15727, 15726, '64 -> 71']
[15737, 15727, 15729, 15733, 15724, 15732, 15731, 15722, 15731, 15727, 15724, 15733, 15723, 15724, 15732, 15723, 15729, 15731, 15722, 15733, 15732, 15726, 15735, 15728, 15728, '72 -> 79']
[15725, 15725, 15729, 15730, 15727, 15725, 15728, 15731, 15732, 15731, 15728, 15728, 15733, 15732, 15728, 15727, 15727, 15729, 15732, 15728, 15725, 15728, 15730, 15730, 15728, '80 -> 87']
[15731, 15733, 15727, 15724, 15731, 15731, 15729, 15728, 15724, 15728, 15733, 15728, 15726, 15725, 15726, 15732, 15729, 15725, 15727, 15728, 15733, 15733, 15726, 15728, 15731, '88 -> 95']
[15724, 15727, 15725, 15724, 15729, 15729, 15729, 15731, 15729, 15732, 15734, 15732, 15733, 15732, 15731, 15734, 15731, 15728, 15729, 15727, 15727, 15727, 15723, 15724, 15725, '96 -> 103']
[15725, 15736, 15733, 15727, 15736, 15725, 15725, 15734, 15722, 15726, 15728, 15718, 15729, 15728, 15720, 15730, 15725, 15725, 15736, 15726, 15728, 15736, 15727, 15735, 15736, '104 -> 111']
[15730, 15728, 15725, 15725, 15728, 15732, 15731, 15727, 15727, 15730, 15734, 15733, 15728, 15728, 15732, 15733, 15732, 15728, 15725, 15728, 15731, 15728, 15724, 15723, 15726, '112 -> 119']
[15729, 15727, 15733, 15736, 15727, 15726, 15727, 15728, 15733, 15726, 15721, 15726, 15728, 15730, 15728, 15722, 15726, 15732, 15731, 15730, 15726, 15726, 15735, 15734, 15729, '120 -> 127']
[15731, 15730, 15727, 15728, 15727, 15725, 15726, 15724, 15724, 15726, 15725, 15725, 15727, 15726, 15729, 15730, 15729, 15731, 15732, 15732, 15734, 15732, 15732, 15733, 15731, '128 -> 135']
[15727, 15731, 15725, 15732, 15731, 15727, 15736, 15732, 15730, 15736, 15729, 15731, 15735, 15726, 15730, 15730, 15723, 15730, 15726, 15721, 15729, 15723, 15724, 15730, 15722, '136 -> 143']
[15731, 15728, 15727, 15728, 15728, 15728, 15726, 15725, 15726, 15728, 15728, 15726, 15726, 15728, 15729, 15730, 15729, 15728, 15730, 15733, 15731, 15731, 15730, 15730, 15732, '144 -> 151']
[15726, 15728, 15732, 15728, 15728, 15730, 15730, 15733, 15732, 15728, 15730, 15732, 15730, 15731, 15727, 15726, 15730, 15728, 15727, 15726, 15724, 15728, 15729, 15726, 15727, '152 -> 159']
[15732, 15730, 15730, 15726, 15724, 15724, 15721, 15722, 15722, 15719, 15722, 15723, 15724, 15727, 15727, 15729, 15733, 15733, 15735, 15736, 15735, 15737, 15737, 15734, 15734, '160 -> 167']
[15726, 15723, 15733, 15728, 15731, 15739, 15730, 15736, 15739, 15731, 15739, 15734, 15728, 15736, 15728, 15726, 15730, 15720, 15723, 15726, 15718, 15723, 15723, 15718, 15728, '168 -> 175']
[15729, 15731, 15730, 15728, 15725, 15724, 15726, 15726, 15724, 15723, 15723, 15726, 15728, 15727, 15727, 15728, 15731, 15734, 15732, 15731, 15732, 15734, 15734, 15733, 15730, '176 -> 183']
[15728, 15728, 15725, 15730, 15734, 15731, 15733, 15730, 15731, 15737, 15732, 15731, 15730, 15728, 15732, 15730, 15725, 15725, 15725, 15726, 15727, 15723, 15722, 15726, 15727, '184 -> 191']
[15729, 15728, 15727, 15727, 15728, 15729, 15728, 15727, 15728, 15728, 15730, 15730, 15728, 15729, 15731, 15730, 15731, 15729, 15728, 15730, 15730, 15728, 15728, 15727, 15728, '192 -> 199']
[15730, 15727, 15732, 15732, 15727, 15730, 15729, 15728, 15732, 15727, 15726, 15730, 15727, 15729, 15729, 15724, 15729, 15729, 15727, 15730, 15726, 15727, 15732, 15728, 15729, '200 -> 207']
[15731, 15731, 15725, 15725, 15731, 15731, 15728, 15727, 15725, 15728, 15733, 15730, 15725, 15728, 15731, 15732, 15731, 15728, 15725, 15730, 15733, 15728, 15725, 15727, 15728, '208 -> 215']
[15725, 15728, 15733, 15733, 15728, 15725, 15728, 15732, 15731, 15728, 15724, 15726, 15733, 15731, 15726, 15726, 15726, 15731, 15733, 15726, 15724, 15728, 15731, 15732, 15728, '216 -> 223']
[15725, 15727, 15727, 15727, 15727, 15725, 15727, 15729, 15729, 15729, 15728, 15729, 15732, 15731, 15730, 15730, 15730, 15731, 15732, 15729, 15728, 15729, 15729, 15729, 15727, '224 -> 231']
[15729, 15734, 15728, 15728, 15734, 15729, 15731, 15730, 15725, 15731, 15730, 15726, 15728, 15725, 15726, 15730, 15726, 15725, 15728, 15726, 15730, 15731, 15725, 15730, 15731, '232 -> 239']
[15724, 15725, 15731, 15731, 15725, 15724, 15727, 15731, 15732, 15728, 15725, 15728, 15733, 15733, 15728, 15726, 15728, 15733, 15733, 15728, 15725, 15728, 15732, 15731, 15727, '240 -> 247']
