[20972, 20972, 20972, 20972, 20971, 20971, 20971, 20971, 20971, 20971, 20970, 20971, 20971, 20971, 20971, 20971, 20971, 20972, 20972, 20972, 20972, 20972, 20973, 20973, 20972, '0 -> 8']
[20972, 20971, 20970, 20972, 20971, 20972, 20973, 20971, 20972, 20973, 20972, 20973, 20972, 20971, 20973, 20972, 20971, 20972, 20970, 20971, 20972, 20970, 20971, 20971, 20970, '8 -> 16']
[20971, 20971, 20973, 20972, 20971, 20970, 20971, 20972, 20972, 20971, 20970, 20971, 20972, 20972, 20971, 20970, 20971, 20972, 20973, 20971, 20971, 20972, 20973, 20973, 20972, '16 -> 24']
[20972, 20972, 20970, 20970, 20972, 20973, 20972, 20971, 20971, 20972, 20974, 20972, 20971, 20971, 20972, 20973, 20972, 20970, 20970, 20972, 20972, 20972, 20970, 20970, 20972, '24 -> 32']
[20973, 20973, 20972, 20971, 20972, 20972, 20970, 20970, 20970, 20970, 20970, 20970, 20970, 20970, 20970, 20972, 20972, 20971, 20972, 20973, 20973, 20973, 20973, 20973, 20973, '32 -> 40']
[20969, 20970, 20972, 20971, 20972, 20972, 20971, 20974, 20973, 20972, 20974, 20972, 20973, 20974, 20971, 20972, 20972, 20971, 20972, 20970, 20969, 20971, 20970, 20970, 20971, '40 -> 48']
[20974, 20972, 20971, 20971, 20972, 20972, 20972, 20970, 20969, 20971, 20972, 20971, 20969, 20970, 20972, 20972, 20972, 20971, 20971, 20972, 20974, 20973, 20971, 20971, 20973, '48 -> 56']
[20969, 20971, 20972, 20973, 20971, 20970, 20972, 20973, 20974, 20972, 20970, 20972, 20974, 20973, 20972, 20970, 20971, 20973, 20972, 20971, 20969, 20970, 20972, 20972, 20970, '56 -> 64']
[20971, 20971, 20971, 20973, 20970, 20970, 20972, 20972, 20973, 20973, 20970, 20973, 20973, 20972, 20972, 20970, 20970, 20973, 20971, 20971, 20971, 20970, 20973, 20973, 20970, '64 -> 72']
[20977, 20972, 20967, 20975, 20969, 20971, 20976, 20966, 20971, 20975, 20968, 20975, 20971, 20966, 20976, 20971, 20969, 20975, 20967, 20972, 20977, 20968, 20973, 20973, 20968, '72 -> 80']
[20968, 20970, 20974, 20973, 20970, 20967, 20970, 20975, 20975, 20971, 20970, 20971, 20975, 20975, 20970, 20967, 20970, 20973, 20974, 20970, 20968, 20971, 20975, 20975, 20971, '80 -> 88']
[20975, 20973, 20969, 20966, 20973, 20976, 20971, 20969, 20968, 20972, 20978, 20972, 20968, 20969, 20971, 20976, 20973, 20966, 20969, 20973, 20975, 20975, 20968, 20968, 20975, '88 -> 96']
